Date,ETH-USD,NET,SI=F,^IRX
2020-01-02,-0.026273105367865448,0.0,0.0,0.0
2020-01-03,0.05170873733930889,0.00818714435847297,0.005661400982570941,-0.014825038884992873
2020-01-04,0.006668095738992252,0.0,0.0,0.0
2020-01-05,0.008899486564836377,0.0,0.0,0.0
2020-01-06,0.05723529011681859,0.02983585900866763,0.0016037237159964948,0.010131788977372755
2020-01-07,-0.005281702419175781,-0.001131247712181,0.01202880853836567,0.008032147983588573
2020-01-08,-0.01605259966408529,0.0062059780554246415,-0.012526295260306774,-0.004677569110670488
2020-01-09,-0.016264648684096536,-0.043685118663879564,-0.012685089078884958,0.0046775691106705096
2020-01-10,0.035237411855320956,0.026668193998675326,0.00963985556443244,-0.0013342058240803938
2020-01-11,-0.0072269384526348944,0.0,0.0,0.0
2020-01-12,0.020407997067783012,0.0,0.0,0.0
2020-01-13,-0.01135714300755629,0.04911707439635711,-0.005951259054648109,0.007978742227025052
2020-01-14,0.140333167597574,0.018349146223548423,-0.014157585123397126,0.013158072193738468
2020-01-15,0.0016576834890892594,0.007989369471699032,0.013990201970253593,-0.01448343636811279
2020-01-16,-0.011128700578588896,0.005818514408427093,-0.0026817343991415066,0.006609403034411073
2020-01-17,0.038128127334989784,-0.01916984731128699,0.007690657968508408,0.003288391794241755
2020-01-18,0.02649747266526811,0.0,0.0,0.0
2020-01-19,-0.049060126946718775,0.0,0.0,0.0
2020-01-20,0.0009019433680608734,0.0,0.0,0.0
2020-01-21,0.015300237317380108,-0.03278984333211578,-0.014651925131573212,-0.013218950435245626
2020-01-22,-0.00830203536353231,0.0027738846146106682,0.0011260886345373648,0.006631317639918115
2020-01-23,-0.03240158193424723,0.006626244096200755,0.00011258207757810059,0.0013209871489522822
2020-01-24,0.000752314460222342,-0.022260218679939645,0.015852885162823422,-0.01663930316114596
2020-01-25,-0.010897740317509516,0.0,0.0,0.0
2020-01-26,0.04125643199435768,0.0,0.0,0.0
2020-01-27,0.01683652145773799,0.002809736990162082,-0.003161619395780675,0.010016768674619233
2020-01-28,0.03132651023738705,0.01448494582703422,-0.03378659120078113,0.016474821672361778
2020-01-29,-0.007512267694822812,-0.027475783320070505,0.0016650495312278734,-0.006557394395008837
2020-01-30,0.05360773574101379,0.04066277516375542,0.029451294414177934,0.005249366562092772
2020-01-31,-0.02483502134203115,-0.025429732965345352,0.0011134873593740219,-0.011850044360822504
2020-02-01,0.019315879003064848,0.0,0.0,0.0
2020-02-02,0.02655918279483658,0.0,0.0,0.0
2020-02-03,0.006592284970026069,-0.009564071261075488,-0.01864598202194732,0.005284038860036873
2020-02-04,-0.0032416069069383033,0.013475766275945347,-0.0063694206493541015,0.01308917965134019
2020-02-05,0.0761759474362565,0.0038964532587228255,0.002336403950157775,-0.011772540712647269
2020-02-06,0.038936450490737365,-0.012860089969128357,0.012444264588915665,0.0065573943950087855
2020-02-07,0.047758146438774275,0.0222602186799398,-0.0069949312296361706,-0.007874033333701659
2020-02-08,0.0018859920161188447,0.0,0.0,0.0
2020-02-09,0.024051418344536987,0.0,0.0,0.0
2020-02-10,-0.022366993908404537,0.009312588541293043,0.0052507533198486046,0.0013166389386928756
2020-02-11,0.053688084352460655,0.0016344697637612504,-0.010472455350364627,0.011772540712647337
2020-02-12,0.11806012907983844,-0.030397539994832027,-0.0054206467352414375,-0.0019525037283426889
2020-02-13,0.010096011233999452,0.01393168279840605,0.006955939845980658,0.006493523278643216
2020-02-14,0.05838256355039239,-0.017867571794179735,0.006512823212398426,-0.0064935232786432545
2020-02-15,-0.0710347237502524,0.0,0.0,0.0
2020-02-16,-0.01842845786013275,0.0,0.0,0.0
2020-02-17,0.02458506466030134,0.0,0.0,0.0
2020-02-18,0.056848858202089333,-0.014184634991956413,0.023211462126662336,0.0
2020-02-19,-0.08193708891968116,0.028726290966993553,0.00884058672808669,0.00519820296171016
2020-02-20,-0.007009752693620848,0.1196936765680549,0.0009289472782020044,-0.0032456992333675075
2020-02-21,0.029230053124413628,0.03485353876181782,0.011512475433608081,-0.013089179651340073
2020-02-22,-0.012383905641450916,0.0,0.0,0.0
2020-02-23,0.04262060931143293,0.0,0.0,0.0
2020-02-24,-0.031684230120700874,-0.05928755347486648,0.01856214854196102,-0.009930558641003792
2020-02-25,-0.06785323482968278,0.02394136520835119,-0.03698024435256567,-0.008686998372275472
2020-02-26,-0.09357372604564448,0.08590182351476208,-0.01982904499455878,-0.008086273505271763
2020-02-27,0.004743776764804114,-0.00771854328576459,-0.009469085636931421,-0.05779545125201593
2020-02-28,3.135778608374022e-05,-0.029604442292191502,-0.07470070756696709,-0.12588021670935332
2020-02-29,-0.030955664183366927,0.0,0.0,0.0
2020-03-01,-0.004001264237985343,0.0,0.0,0.0
2020-03-02,0.05161608566188488,0.03596518105692765,0.017662209838237422,-0.0803815423602764
2020-03-03,-0.026768577109831878,0.0,0.026622422263687114,-0.21219054959209227
2020-03-04,0.0001708041942054448,0.027692740143471065,0.0033803834847869964,-0.3074846633878287
2020-03-05,0.020936676896725202,0.02823204235491554,0.008977950327599854,-0.12615125490311727
2020-03-06,0.06032838771647079,-0.025153100272485032,-0.007408203400246435,-0.36028295350694084
2020-03-07,-0.023567627393533592,0.0,0.0,0.0
2020-03-08,-0.16989648021634282,0.0,0.0,0.0
2020-03-09,0.006443285417974929,-0.09337970841384159,-0.012450913457719929,-0.22918580592615212
2020-03-10,-0.00605377335216361,0.01768269900752749,-0.005603536914927912,0.16705400824695504
