Date,rolling_correlation
2020-03-01,0.08044531491973987
2020-03-02,0.013246423881277716
2020-03-03,0.09984653323216439
2020-03-04,0.08592830426288625
2020-03-05,0.07222240436088034
2020-03-06,-0.054692561345371815
2020-03-07,-0.056123219113893855
2020-03-08,-0.06656340013458302
2020-03-09,-0.059740829012277036
2020-03-10,-0.0701591875857194
2020-03-11,-0.06295050673753007
2020-03-12,0.30964758782932733
2020-03-13,0.26522501667854204
2020-03-14,0.2508719107181407
2020-03-15,0.2517215787773025
2020-03-16,0.2927942682655264
2020-03-17,0.28217130760763187
2020-03-18,0.028031157796087572
2020-03-20,0.027474993257046526
2020-03-21,0.02746447421683852
2020-03-22,0.02416397848478469
2020-03-23,0.034110192534532346
2020-03-24,0.03390451316839548
2020-03-25,0.02914516244826171
2020-03-26,0.03276138862068686
2020-03-27,0.035814585303244814
2020-03-28,0.03450307343609476
2020-03-29,0.031954182873537504
2020-03-31,0.03543223918570643
2020-04-01,0.039816612059653256
2020-04-02,0.041740301339705244
2020-04-03,0.041038439716359475
2020-04-04,0.04094528984511314
2020-04-05,0.040523845074585264
2020-04-06,0.04480310601721968
2020-04-07,0.0384243157878494
2020-04-08,0.04434243231251932
2020-04-09,0.04360178919793173
2020-04-10,0.04230034422851487
2020-04-11,0.0419804944033893
2020-04-12,0.04254730841025045
2020-04-13,0.041553091398194096
2020-04-14,0.03936108089122256
2020-04-15,0.0403336182561117
2020-04-16,0.03920644990119412
2020-04-17,0.040409374267071356
2020-04-18,0.04193565776445846
2020-04-19,0.04099407150872059
2020-04-20,0.04401421415408022
2020-04-21,0.04731941868374409
2020-04-22,0.047192494307266186
2020-04-23,0.047100116378504586
2020-04-24,0.048421659599173855
2020-04-25,0.04828464106443737
2020-04-26,0.04896963185239783
2020-04-27,0.05005206617239235
2020-04-28,0.05173838573718869
2020-04-29,0.05475383651569552
2020-04-30,0.054069791048049015
2020-05-01,0.05551030476328997
2020-05-02,0.05566661194823441
2020-05-03,0.0560146528036811
2020-05-04,0.05492203645079387
2020-05-05,0.05524987513164117
2020-05-06,0.055952048724921835
2020-05-07,0.06176068757594961
2020-05-08,0.06209377197725042
2020-05-09,0.06592108333809045
2020-05-10,0.06450705056402367
2020-05-11,0.06419674667415702
2020-05-12,0.06535872536986059
2020-05-13,0.026891013702966347
2020-05-14,0.03775378122771166
2020-05-15,0.03955040339700296
2020-05-16,0.03966602815497622
2020-05-17,0.021877705367608823
2020-05-18,0.023988992286626185
2020-05-19,0.061962532569477924
2020-05-20,0.07013526035503265
2020-05-21,0.07848881793196007
2020-05-22,0.07277833887043547
2020-05-23,0.05561094534868338
2020-05-24,0.06672486424005417
2020-05-25,0.10154239834091816
2020-05-26,0.09544848420716003
2020-05-27,0.06250504547291945
2020-05-28,0.05860570658389918
2020-05-29,0.056360653160243156
2020-05-30,0.06462530614993368
2020-05-31,0.06726835023577603
2020-06-01,0.06326552428910454
2020-06-02,0.046679526916759126
2020-06-03,0.04738626538428814
2020-06-04,0.04795738708302888
2020-06-05,0.044104220815423825
2020-06-06,0.1392960633915968
2020-06-07,0.09782792489484403
2020-06-08,0.10749955406807904
2020-06-09,0.10826098885664424
2020-06-10,0.10849196761397628
2020-06-11,0.1255192399944877
2020-06-12,0.11873223429922367
2020-06-13,0.12325867077156295
2020-06-14,0.08043896667695466
2020-06-15,0.11011968531659781
2020-06-16,0.10944942070083075
2020-06-17,0.11588174177355415
2020-06-18,0.11905523016800869
2020-06-19,0.002306356508315564
2020-06-20,0.007643861723391557
2020-06-21,0.031531760888163424
2020-06-22,0.01998787353556928
2020-06-23,0.01091648231303709
2020-06-24,0.024190733547615157
2020-06-25,0.029099516786292235
2020-06-26,0.025283114304965736
2020-06-27,0.030105369306687182
2020-06-28,-0.004862140450124253
2020-06-29,-0.013542358896122406
2020-06-30,-0.025737453697695204
2020-07-01,-0.032460478877866766
2020-07-02,-0.034801109368887785
2020-07-03,-0.03855070186315322
2020-07-04,-0.02828241644583212
2020-07-05,-0.031036106055393014
2020-07-06,-0.008350117353659465
2020-07-07,-0.017364068558513957
2020-07-08,-0.0287345789846014
2020-07-09,-0.019695822915705152
2020-07-10,0.0014823851376423991
2020-07-11,-0.022067971407561743
2020-07-12,0.012750867771078566
2020-07-13,0.02366286138961317
2020-07-14,0.01296121418740208
2020-07-15,0.021752490553609838
2020-07-16,0.06559205722083891
2020-07-17,0.0586114869004398
2020-07-18,0.06912796252004337
2020-07-19,0.06987084706804085
2020-07-20,0.03215718042179792
2020-07-21,0.04963303917491167
2020-07-22,-0.017206017127106295
2020-07-23,-0.003116057066180444
2020-07-24,-0.008813387966195602
2020-07-25,0.009826360652740973
2020-07-26,-0.02860313719091143
2020-07-27,-0.057164698951666364
2020-07-28,-0.08117203684344818
2020-07-29,-0.08766029865640844
2020-07-30,-0.10856926414741684
2020-07-31,-0.12195778529441277
2020-08-01,-0.04178186524342691
2020-08-02,-0.05243699655846128
2020-08-03,-0.07313205720398076
2020-08-04,-0.058278392093965445
2020-08-05,-0.04441466858720458
2020-08-06,-0.02780636323708463
2020-08-07,-0.029690870949326625
2020-08-08,-0.016502064021021143
2020-08-09,-0.018216870280249972
2020-08-10,-0.06795578489527239
2020-08-11,-0.12380272340395053
2020-08-12,-0.1219920076174491
2020-08-13,-0.18193603901776398
2020-08-14,-0.17436578344114978
2020-08-15,-0.17948516267161194
2020-08-16,-0.17535450092294885
2020-08-17,-0.20142250853564866
2020-08-18,-0.21674995929164284
2020-08-19,-0.1913082451895614
2020-08-20,-0.19694281278350453
